Title,Region,Type,Rating,Rank
致命魔术,"英国,美国","剧情,悬疑,惊悚",8.9,104
低俗小说,美国,"剧情,喜剧,犯罪",8.9,105
致命ID,美国,"剧情,悬疑,惊悚",8.9,106
杀人回忆,韩国,"剧情,动作,犯罪,悬疑,惊悚",8.9,107
蝙蝠侠：黑暗骑士崛起,"美国,英国","剧情,动作,科幻,犯罪,惊悚",8.9,108
东京教父,日本,"剧情,喜剧,动画",9.0,109
盲井,"中国大陆,德国,中国香港","犯罪,剧情",9.0,110
入殓师,日本,剧情,8.9,111
福音战士新剧场版：破,日本,"剧情,科幻,动画",9.3,112
菊次郎的夏天,日本,"剧情,喜剧",8.9,113
牯岭街少年杀人事件,中国台湾,"剧情,犯罪",8.9,114
爱在日落黄昏时,"美国,法国","剧情,爱情",8.9,115
第六感,美国,"剧情,悬疑,惊悚",8.9,116
可可西里,"中国大陆,中国香港","剧情,犯罪",8.9,117
7号房的礼物,韩国,"剧情,喜剧,家庭",8.9,118
勇敢的心,美国,"动作,传记,剧情,历史,战争",8.9,119
一个叫欧维的男人决定去死,瑞典,剧情,8.9,120
悲情城市,中国台湾,"剧情,历史",9.0,121
新世界,韩国,"剧情,犯罪",8.9,122
侧耳倾听,日本,"剧情,爱情,动画",8.9,123
生活多美好,美国,"剧情,爱情,奇幻",9.2,124
东京物语,日本,"剧情,家庭",9.1,125
爱在午夜降临前,"美国,希腊","剧情,爱情",8.9,126
泳者之心,美国,"剧情,传记,运动",9.0,127
绿里奇迹,美国,"犯罪,剧情,奇幻,悬疑",8.9,128
你看起来好像很好吃,日本,"剧情,动画,儿童",8.9,129
喜剧之王,中国香港,"喜剧,剧情,爱情",8.8,130
卢旺达饭店,"英国,南非,意大利,美国","剧情,传记,历史,战争",8.9,131
重庆森林,中国香港,"剧情,爱情",8.8,132
寄生虫,韩国,剧情,8.8,133
花样年华,中国香港,"剧情,爱情",8.8,134
看不见的客人,西班牙,"剧情,犯罪,悬疑,惊悚",8.8,135
九品芝麻官,中国香港,"剧情,喜剧,古装",8.8,136
遥望南方的童年,中国大陆,剧情,9.3,137
黑镜：圣诞特别篇,英国,"剧情,科幻,惊悚",9.1,138
阳光灿烂的日子,"中国大陆,中国香港","剧情,爱情",8.8,139
灿烂人生,意大利,"剧情,爱情,家庭",9.3,140
七宗罪,美国,"剧情,犯罪,悬疑,惊悚",8.8,141
无间道2,中国香港,"剧情,犯罪,惊悚",8.8,142
南京照相馆,中国大陆,"剧情,历史,战争",8.8,143
纵横四海,中国香港,"剧情,喜剧,动作,犯罪",8.8,144
恐怖分子,中国台湾,"剧情,犯罪",9.0,145
请以你的名字呼唤我,"意大利,法国,巴西,美国","剧情,爱情,同性",8.8,146
奥本海默,"美国,英国","剧情,传记,历史",8.8,147
爱在黎明破晓前,"美国,奥地利,瑞士","剧情,爱情",8.8,148
断背山,"美国,加拿大","剧情,爱情,同性,家庭",8.8,149
被嫌弃的松子的一生,日本,"剧情,歌舞",8.8,150
出走的决心,中国大陆,"剧情,家庭",8.8,151
我爱你,韩国,"剧情,爱情",9.0,152
告白,日本,"剧情,悬疑",8.8,153
模仿游戏,"英国,美国","剧情,传记,战争,同性",8.8,154
被解救的姜戈,美国,"剧情,动作,西部,冒险",8.8,155
共同警备区,韩国,剧情,9.0,156
大红灯笼高高挂,"中国大陆,中国香港,中国台湾",剧情,8.8,157
隐藏人物,美国,"剧情,传记,历史",8.9,158
幸福终点站,美国,"喜剧,剧情,爱情",8.8,159
阳光姐妹淘,韩国,"剧情,喜剧",8.8,160
大鱼,美国,"剧情,爱情,奇幻,冒险",8.8,161
偷自行车的人,意大利,"犯罪,剧情",9.1,162
萤火之森,日本,"剧情,爱情,动画,奇幻",8.8,163
变脸,"中国大陆,中国香港",剧情,9.1,164
莫娣,"爱尔兰,加拿大","剧情,传记,爱情",9.0,165
海街日记,日本,"剧情,家庭",8.8,166
达拉斯买家俱乐部,美国,"剧情,传记,同性",8.8,167
枪火,中国香港,"剧情,动作,犯罪",8.8,168
沉静如海,"法国,比利时","剧情,爱情,战争",9.1,169
大独裁者,美国,"喜剧,剧情,战争",9.2,170
赛德克·巴莱(上),中国台湾,"剧情,历史,战争",8.9,171
过年,中国大陆,"剧情,家庭",9.0,172
地球上的星星,印度,"剧情,儿童,家庭",8.9,173
东邪西毒：终极版,"中国香港,中国大陆,中国台湾","剧情,动作,爱情",8.8,174
天鹰战士：最后的冲击,日本,"剧情,科幻,动画",9.1,175
盲山,中国大陆,"剧情,犯罪",8.8,176
赛德克·巴莱,中国台湾,"剧情,历史,战争",8.8,177
